,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,belyy yar,RU,53.6039,91.3903,67.89,60,40,8.39,scattered clouds
346,saint-augustin,CA,51.226,-58.6502,50.43,92,100,2.8,overcast clouds
347,devonport,AU,-41.1667,146.35,45.01,68,29,9.26,scattered clouds
348,dauphin,CA,51.1494,-100.0502,42.94,52,1,4.61,clear sky
349,vila franca do campo,PT,37.7167,-25.4333,64.81,66,66,10.83,broken clouds
350,leningradskiy,RU,69.3833,178.4167,24.15,92,33,6.24,scattered clouds
351,havelock,US,34.8791,-76.9013,86.05,68,1,3.0,clear sky
352,yerbogachen,RU,61.2767,108.0108,46.72,83,92,1.72,overcast clouds
353,kushima,JP,31.4583,131.2333,65.12,91,100,6.42,overcast clouds
354,saint-joseph,RE,-21.3667,55.6167,75.58,81,53,4.72,broken clouds
355,myaundzha,RU,63.0494,147.1858,38.12,76,77,8.37,broken clouds
356,mahibadhoo,MV,3.7833,72.9667,83.26,76,100,20.24,overcast clouds
357,sola,VU,-13.8833,167.55,76.14,70,100,9.82,overcast clouds
358,otterup,DK,55.5153,10.3976,57.4,77,76,17.16,broken clouds
359,aktash,RU,50.3,87.7333,51.66,45,43,3.67,scattered clouds
360,haines junction,CA,60.7522,-137.5108,33.75,93,54,2.3,broken clouds
361,liverpool,GB,53.4106,-2.9779,69.3,48,20,3.0,few clouds
362,longyearbyen,SJ,78.2186,15.6401,33.64,75,75,5.75,broken clouds
363,egvekinot,RU,66.3167,-179.1667,29.73,66,100,9.53,overcast clouds
364,la asuncion,VE,11.0333,-63.8628,69.53,100,82,9.75,broken clouds
365,nishihara,JP,26.1842,127.7558,82.06,88,75,5.68,broken clouds
366,verkhnyaya inta,RU,65.9811,60.3094,44.19,40,100,8.16,overcast clouds
367,sao filipe,CV,14.8961,-24.4956,73.74,77,1,10.71,clear sky
368,provideniya,RU,64.3833,-173.3,38.48,59,90,9.28,overcast clouds
369,biu,NG,10.6129,12.1946,96.96,17,3,1.72,clear sky
370,sorong,ID,-0.8833,131.25,78.89,88,100,10.51,overcast clouds
371,beira,MZ,-19.8436,34.8389,75.29,73,20,6.02,few clouds
372,cubuk,TR,40.2386,33.0322,85.91,19,75,12.46,broken clouds
373,tabuny,RU,52.7773,78.7896,62.55,46,54,18.52,broken clouds
374,kavieng,PG,-2.5744,150.7967,82.47,73,100,10.38,light rain
375,yaan,NG,7.3833,8.5667,93.36,45,86,8.93,overcast clouds
376,trairi,BR,-3.2778,-39.2689,85.59,58,5,12.26,clear sky
377,poya,NC,-21.35,165.15,66.09,84,66,2.51,broken clouds
378,bathsheba,BB,13.2167,-59.5167,86.61,54,40,17.9,scattered clouds
379,pavlivka,UA,49.4414,28.4596,61.21,85,100,3.98,overcast clouds
380,byron bay,AU,-28.65,153.6167,56.88,86,9,9.71,clear sky
381,paamiut,GL,61.994,-49.6678,38.48,83,41,11.36,scattered clouds
382,itamarandiba,BR,-17.8572,-42.8589,83.25,45,63,1.39,broken clouds
383,port elizabeth,ZA,-33.918,25.5701,66.49,72,0,17.27,clear sky
384,sao gabriel da cachoeira,BR,-0.1303,-67.0892,76.8,88,75,3.04,broken clouds
385,port lincoln,AU,-34.7333,135.8667,59.54,64,95,6.33,overcast clouds
386,sakiai,LT,54.9547,23.0358,59.25,82,96,7.87,overcast clouds
387,santa rosalia,MX,27.3167,-112.2833,79.41,25,100,5.48,overcast clouds
388,tabuk,PH,17.4189,121.4443,79.36,79,40,5.1,scattered clouds
389,suoyarvi,RU,62.0833,32.35,59.09,49,50,7.11,scattered clouds
390,barda,AZ,40.3744,47.1267,78.08,43,14,9.4,few clouds
391,honiara,SB,-9.4333,159.95,75.85,89,100,3.24,overcast clouds
392,veinticinco de mayo,AR,-35.4323,-60.1727,65.05,63,43,8.99,scattered clouds
393,lufilufi,WS,-13.8745,-171.5986,74.98,70,32,6.04,scattered clouds
394,wanning,CN,18.8003,110.3967,82.47,86,36,8.08,scattered clouds
395,loreto,MX,22.2667,-101.9667,70.63,40,0,4.32,clear sky
396,namibe,AO,-15.1961,12.1522,79.14,59,0,10.67,clear sky
397,dolores,AR,-36.3132,-57.6792,60.89,62,99,11.54,overcast clouds
398,viedma,AR,-40.8135,-62.9967,66.49,49,100,26.15,moderate rain
399,siniscola,IT,40.5719,9.6922,71.15,58,6,5.73,clear sky
400,palmer,US,42.1584,-72.3287,74.66,53,20,3.0,few clouds
401,komsomolskiy,UZ,40.4272,71.7189,84.92,24,43,6.91,scattered clouds
402,tilichiki,RU,60.4667,166.1,32.2,98,100,8.3,light snow
403,vicuna,CL,-30.0319,-70.7081,44.33,7,69,3.67,broken clouds
404,waitati,NZ,-45.75,170.5667,43.81,70,79,5.3,broken clouds
405,gari,RU,59.4307,62.3497,50.18,59,68,4.72,broken clouds
406,krasnoselkup,RU,65.7,82.4667,35.29,63,100,19.57,overcast clouds
407,zavodouspenskoye,RU,56.8626,65.0155,57.42,51,47,7.11,scattered clouds
408,emerald,AU,-23.5333,148.1667,59.14,38,0,21.85,clear sky
409,sokolo,ML,14.7328,-6.1219,107.83,14,77,7.65,broken clouds
410,yamada,JP,39.4667,141.95,57.0,96,100,2.53,overcast clouds
411,katobu,ID,-4.9408,122.5276,76.62,90,15,6.89,few clouds
412,luena,AO,-11.7833,19.9167,76.87,26,0,4.27,clear sky
413,progreso,MX,21.2833,-89.6667,84.11,66,36,7.61,scattered clouds
414,laem sing,TH,12.4816,102.0738,82.96,82,100,10.25,overcast clouds
415,rutana,BI,-3.8667,30.1,66.13,75,76,3.29,broken clouds
416,ozernovskiy,RU,51.5,156.5167,38.55,89,100,4.14,overcast clouds
417,kaspiysk,RU,42.8816,47.6392,69.98,72,40,8.99,scattered clouds
418,trincomalee,LK,8.5711,81.2335,82.62,78,49,22.53,scattered clouds
419,port augusta,AU,-32.5,137.7667,47.71,80,93,6.44,overcast clouds
420,belaya gora,RU,68.5333,146.4167,52.41,53,68,7.16,broken clouds
421,waipawa,NZ,-41.4122,175.5153,50.63,90,36,5.17,scattered clouds
422,vizinga,RU,61.0749,50.1031,46.38,90,100,3.83,overcast clouds
423,chara,RU,56.9064,118.2631,37.47,85,30,2.21,scattered clouds
424,oistins,BB,13.0667,-59.5333,86.09,54,40,23.02,scattered clouds
425,pahrump,US,36.2083,-115.9839,81.68,20,0,1.01,clear sky
426,copiapo,CL,-27.3667,-70.3333,53.29,14,98,2.19,overcast clouds
427,tatarbunary,UA,45.8373,29.6142,71.51,53,26,10.31,scattered clouds
428,zinder,NE,13.8072,8.9881,105.76,16,20,5.75,few clouds
429,palu,ID,-0.8917,119.8707,77.2,96,33,3.02,scattered clouds
430,tyn nad vltavou,CZ,49.2234,14.4206,60.1,44,93,8.99,overcast clouds
431,zhezkazgan,KZ,47.8043,67.7144,71.08,54,100,13.62,overcast clouds
432,marquette,US,46.5333,-87.6335,40.77,65,100,10.04,overcast clouds
433,ranau,MY,5.9538,116.6641,74.05,98,76,0.87,broken clouds
434,millinocket,US,45.6573,-68.7098,68.36,66,1,13.8,clear sky
435,lakatoro,VU,-16.0999,167.4164,73.89,58,93,4.32,overcast clouds
436,opuwo,NA,-18.0607,13.84,79.92,19,0,8.5,clear sky
437,sao joao da barra,BR,-21.6403,-41.0511,80.69,70,75,1.86,broken clouds
438,jeremoabo,BR,-10.075,-38.4808,83.93,42,38,11.97,scattered clouds
439,nioro,GM,13.35,-15.75,103.37,15,59,6.51,broken clouds
440,vila velha,BR,-20.3297,-40.2925,84.15,66,40,3.0,scattered clouds
441,hammerfest,NO,70.6634,23.6821,40.73,87,75,31.07,broken clouds
442,westlock,CA,54.1502,-113.8688,56.41,76,82,11.92,broken clouds
443,oxapampa,PE,-10.5775,-75.4017,70.36,57,12,4.74,few clouds
444,tuy hoa,VN,13.0833,109.3,79.23,90,12,7.54,few clouds
445,bull savanna,JM,17.8868,-77.5902,82.49,63,3,3.65,clear sky
446,niort,FR,46.3333,-0.3333,70.68,51,26,1.01,scattered clouds
447,mangan,IN,27.5167,88.5333,73.62,93,100,2.26,overcast clouds
448,ambilobe,MG,-13.2,49.05,75.79,76,71,2.95,broken clouds
449,ismailia,EG,30.6043,32.2723,93.27,33,0,11.5,clear sky
450,rockland,US,41.1668,-74.0496,77.36,60,0,1.01,clear sky
451,fortuna,US,40.5982,-124.1573,48.65,100,1,9.22,clear sky
452,mama,RU,58.3106,112.8986,44.13,73,24,2.48,few clouds
453,nguruka,TZ,-5.1092,31.0419,76.59,61,80,2.71,broken clouds
454,streator,US,41.1209,-88.8354,65.48,80,99,4.0,overcast clouds
455,tautira,PF,-17.7333,-149.15,73.42,73,5,4.43,clear sky
456,mana,GF,5.6592,-53.7767,74.64,97,100,6.76,overcast clouds
457,todos santos,MX,23.45,-110.2167,88.75,43,77,7.54,broken clouds
458,ericeira,PT,38.9627,-9.4156,80.26,70,0,16.02,clear sky
459,cozumel,MX,20.5083,-86.9458,87.01,76,40,5.01,scattered clouds
460,quibdo,CO,5.6947,-76.6611,86.47,69,81,1.07,broken clouds
461,nouadhibou,MR,20.931,-17.0347,73.38,64,9,20.71,clear sky
462,te anau,NZ,-45.4167,167.7167,42.82,96,100,2.86,light rain
463,hobe sound,US,27.0595,-80.1364,85.01,69,75,7.54,broken clouds
464,mecca,SA,21.4267,39.8261,94.19,32,0,14.2,clear sky
465,muzhi,RU,65.3667,64.6667,44.87,37,92,12.62,overcast clouds
466,alofi,NU,-19.0595,-169.9187,73.29,100,39,1.14,light rain
467,gol,NO,60.7014,8.9457,60.57,72,90,7.0,overcast clouds
468,lexington,US,37.9887,-84.4777,75.42,76,40,1.01,scattered clouds
469,tukrah,LY,32.5341,20.5791,76.46,49,2,9.95,clear sky
470,sitka,US,57.0531,-135.33,46.29,71,90,9.22,overcast clouds
471,baghdad,IQ,33.3406,44.4009,105.71,13,0,2.73,clear sky
472,taltal,CL,-25.4,-70.4833,67.59,67,83,3.2,broken clouds
473,drumheller,CA,51.4617,-112.7101,60.28,71,40,11.5,scattered clouds
474,veracruz,MX,19.3333,-96.6667,75.87,56,9,2.62,clear sky
475,macae,BR,-22.3708,-41.7869,78.57,83,75,4.61,broken clouds
476,fairbanks,US,64.8378,-147.7164,51.8,72,90,0.0,overcast clouds
477,payo,ID,-3.7508,103.6372,74.66,96,100,2.51,overcast clouds
478,tahta,EG,26.7693,31.5021,102.52,8,0,17.18,clear sky
479,arenapolis,BR,-14.4503,-56.8461,92.14,38,1,2.98,clear sky
480,mogzon,RU,51.7435,111.9606,36.88,58,1,2.26,clear sky
481,barabai,ID,-2.5833,115.3833,77.99,87,84,2.21,broken clouds
482,aden,YE,12.7794,45.0367,88.36,64,84,12.17,broken clouds
483,voh,NC,-20.9667,164.7,64.18,82,60,2.46,broken clouds
484,miraflores,MX,19.2167,-98.8083,61.45,61,93,2.75,overcast clouds
485,buenaventura,CO,3.8801,-77.0312,84.43,75,29,3.13,scattered clouds
486,pacific grove,US,36.6177,-121.9166,55.26,85,40,1.99,scattered clouds
487,kupang,ID,-10.1667,123.5833,79.03,69,18,18.16,few clouds
488,sechura,PE,-5.5569,-80.8222,73.74,74,24,9.08,few clouds
489,labuhan,ID,-6.8844,112.2051,81.45,82,96,9.91,overcast clouds
490,oranjemund,NA,-28.55,16.4333,61.32,64,43,11.34,scattered clouds
491,belluno,IT,46.145,12.2214,72.9,75,100,1.1,moderate rain
492,puerto escondido,MX,15.85,-97.0667,83.23,78,90,6.91,overcast clouds
493,qui nhon,VN,13.7667,109.2333,81.43,89,9,12.46,clear sky
494,collie,AU,-33.3667,116.15,56.84,56,80,4.23,broken clouds
495,christchurch,NZ,-43.5333,172.6333,44.82,92,100,1.99,overcast clouds
496,kaka,TM,37.3482,59.6143,85.3,28,74,10.94,broken clouds
497,ormara,PK,25.2088,64.6357,86.13,82,0,11.83,clear sky
498,inta,RU,66.0317,60.1659,44.58,39,99,8.52,overcast clouds
499,sorland,NO,67.667,12.6934,46.26,61,20,4.61,few clouds
500,along,IN,28.1667,94.7667,73.31,99,98,1.54,overcast clouds
501,gizo,SB,-8.103,156.8419,77.59,93,100,9.64,heavy intensity rain
502,mezen,RU,65.8522,44.24,49.95,36,97,5.12,overcast clouds
503,hambantota,LK,6.1241,81.1185,82.74,83,75,23.02,broken clouds
504,vorontsovka,RU,50.6132,40.3549,73.67,55,45,6.44,scattered clouds
505,gigmoto,PH,13.7796,124.39,82.22,83,99,4.81,overcast clouds
506,alta floresta,BR,-9.8756,-56.0861,89.42,55,0,5.75,clear sky
507,bengkulu,ID,-3.8004,102.2655,78.21,89,100,7.11,overcast clouds
508,domoni,KM,-12.2569,44.5319,76.23,66,20,6.33,few clouds
509,mehamn,NO,71.0357,27.8492,42.71,89,100,30.89,light rain
510,karratha,AU,-20.7377,116.8463,76.19,70,100,4.32,light rain
511,batemans bay,AU,-35.7167,150.1833,52.92,75,6,6.35,clear sky
512,sur,OM,22.5667,59.5289,90.07,59,2,3.18,clear sky
513,prince rupert,CA,54.3161,-130.3201,47.89,93,90,5.75,overcast clouds
514,finschhafen,PG,-6.6024,147.8681,80.2,79,100,7.18,overcast clouds
515,aksarka,RU,66.5606,67.7975,42.21,41,97,10.85,overcast clouds
516,lesnyye polyany,RU,55.9667,37.8667,69.82,65,60,2.48,broken clouds
517,ixtapa,MX,20.7,-105.2,72.63,78,1,3.44,clear sky
518,kasempa,ZM,-13.4584,25.8338,73.22,32,0,3.8,clear sky
519,conde,BR,-7.2597,-34.9075,81.86,78,75,17.2,broken clouds
520,cap malheureux,MU,-19.9842,57.6142,77.49,73,10,4.0,light rain
521,eureka,US,40.8021,-124.1637,48.9,55,100,2.8,overcast clouds
522,bachaquero,VE,9.9694,-71.1494,85.24,72,69,6.78,broken clouds
523,phuket,TH,8.0,98.25,83.08,94,75,5.32,moderate rain
524,comodoro rivadavia,AR,-45.8667,-67.5,53.46,58,20,21.85,few clouds
525,kedrovyy,RU,56.1667,91.8167,54.01,97,87,5.01,light rain
526,ranfurly,NZ,-45.1333,170.1,30.07,86,100,3.91,light snow
527,itoman,JP,26.1247,127.6694,82.78,91,75,2.3,broken clouds
528,kaihua,CN,23.3687,104.28,66.92,98,91,5.06,overcast clouds
529,whitianga,NZ,-36.8333,175.7,47.8,81,63,4.74,broken clouds
530,capao da canoa,BR,-29.7456,-50.0097,66.51,43,0,2.64,clear sky
531,srednekolymsk,RU,67.45,153.6833,49.28,60,0,10.85,clear sky
532,villa maria,AR,-32.4075,-63.2402,63.82,59,0,12.15,clear sky
533,kokopo,PG,-4.352,152.2633,76.32,88,100,7.92,overcast clouds
534,umred,IN,20.85,79.3333,95.29,28,100,19.19,overcast clouds
535,coronado,US,32.6859,-117.1831,62.6,77,90,0.0,overcast clouds
536,iwanai,JP,42.9744,140.5089,51.24,97,100,3.38,overcast clouds
537,zabol,AF,32.25,67.25,80.55,14,4,12.86,clear sky
538,pasighat,IN,28.0667,95.3333,74.66,97,74,2.28,broken clouds
539,codrington,AU,-38.2667,141.9667,53.24,75,99,14.74,overcast clouds
540,corcoran,US,36.098,-119.5604,68.95,30,0,6.69,clear sky
541,kovdor,RU,67.5662,30.4758,48.78,35,94,9.55,overcast clouds
542,banjar,ID,-8.19,114.9675,82.26,90,9,3.44,clear sky
543,natal,BR,-5.795,-35.2094,88.02,58,75,15.68,broken clouds
544,half moon bay,US,37.4636,-122.4286,57.15,81,1,6.29,clear sky
545,pangoa,PE,-12.1167,-73.0,81.25,54,42,1.41,scattered clouds
546,marawi,PH,7.9986,124.2928,73.65,93,85,1.25,overcast clouds
547,vaxjo,SE,56.8777,14.8091,53.62,71,90,6.91,overcast clouds
548,selikhino,RU,50.3672,137.4996,41.81,83,2,5.17,clear sky
549,pimentel,PE,-6.8367,-79.9342,66.49,88,90,4.0,overcast clouds
550,bobon,PH,12.5246,124.5636,79.11,92,43,4.74,scattered clouds
551,muroto,JP,33.2833,134.15,69.01,84,100,4.85,light rain
552,seryshevo,RU,51.0933,128.3786,48.72,79,98,5.48,overcast clouds
553,santo angelo,BR,-28.2992,-54.2631,70.12,49,0,6.91,clear sky
554,bairiki,KI,1.3292,172.9752,80.6,89,75,15.66,light rain
555,henties bay,NA,-22.116,14.2845,66.85,62,3,10.74,clear sky
556,chintamani,IN,13.4,78.0667,80.94,48,36,11.7,scattered clouds
557,maltahohe,NA,-24.8333,16.9833,75.22,18,83,6.87,broken clouds
558,kurchum,KZ,48.5722,83.6542,75.9,29,30,2.51,scattered clouds
559,dombarovskiy,RU,50.7587,59.5386,72.12,33,0,12.86,clear sky
560,torrington,US,41.8007,-73.1212,76.17,64,9,7.0,clear sky
561,bam,IR,29.106,58.357,90.59,13,0,13.06,clear sky
562,kattivakkam,IN,13.2167,80.3167,87.08,80,54,15.5,broken clouds
563,juybar,IR,36.6412,52.9124,75.36,70,34,7.09,scattered clouds
564,denpasar,ID,-8.65,115.2167,82.06,89,20,7.81,few clouds
565,burgeo,CA,47.6167,-57.6152,46.6,99,100,9.4,overcast clouds
566,vung tau,VN,10.346,107.0843,80.53,81,84,8.37,broken clouds
567,novyy urgal,RU,51.0736,132.5642,46.2,94,100,0.13,overcast clouds
568,rameshki,RU,57.3439,36.0453,67.28,44,14,3.04,few clouds
569,savannah bight,HN,16.45,-85.85,86.05,78,77,14.72,broken clouds
570,peniche,PT,39.3558,-9.3811,80.55,75,100,14.36,overcast clouds
571,nagua,DO,19.3832,-69.8474,86.45,74,40,7.18,scattered clouds
572,tecoanapa,MX,16.5167,-98.75,85.42,56,100,2.62,overcast clouds
573,iki-burul,RU,45.8208,44.6472,80.94,64,100,9.64,light rain
574,luwingu,ZM,-10.2621,29.9271,70.09,44,0,3.91,clear sky
575,maneciu,RO,45.3167,25.9833,69.13,64,97,5.82,overcast clouds
576,kamenka,RU,51.3223,42.7678,72.1,56,46,5.08,scattered clouds
577,bonito,BR,-21.1211,-56.4819,88.7,39,88,8.03,overcast clouds
578,srandakan,ID,-7.9386,110.2506,77.81,90,20,6.96,few clouds
579,rocha,UY,-34.4833,-54.3333,65.05,57,30,11.68,scattered clouds
580,kurilsk,RU,45.2333,147.8833,40.53,88,100,10.54,overcast clouds
581,krsko,SI,45.9591,15.4917,75.02,50,20,10.36,few clouds
582,faya,SA,18.3851,42.4509,80.71,32,15,4.25,few clouds
583,zapolyarnyy,RU,69.4154,30.8136,45.68,48,100,22.57,overcast clouds
584,orissaare,EE,58.5592,23.0826,56.91,72,35,7.74,scattered clouds
585,udachnyy,RU,66.4167,112.4,50.23,65,92,10.49,overcast clouds
586,homer,US,59.6425,-151.5483,50.04,81,1,3.44,clear sky
587,pathein,MM,16.7833,94.7333,84.24,74,93,6.87,overcast clouds
588,berbera,SO,10.4396,45.0143,91.06,54,100,14.74,overcast clouds
589,notre-dame-du-lac,CA,47.6136,-68.7964,49.24,41,3,15.01,clear sky
590,northam,GB,51.0333,-4.2167,64.67,73,99,4.07,overcast clouds
591,boddam,GB,57.4667,-1.7833,64.44,82,39,7.09,scattered clouds
592,san carlos de bariloche,AR,-41.1456,-71.3082,47.95,53,40,14.61,scattered clouds
593,at-bashi,KG,41.1702,75.8106,59.5,46,57,3.65,broken clouds
594,teknaf,BD,20.8624,92.3058,83.03,85,66,11.81,broken clouds
595,ribeira do pombal,BR,-10.8344,-38.5358,85.32,39,25,10.36,scattered clouds
596,aranos,NA,-24.1333,19.1167,75.52,15,59,5.95,broken clouds
597,batagay-alyta,RU,67.8006,130.4114,51.67,47,100,5.21,overcast clouds
598,oudtshoorn,ZA,-33.5907,22.2014,59.36,40,45,4.99,scattered clouds
599,tessalit,ML,20.1986,1.0114,109.18,3,3,14.94,clear sky
600,seymchan,RU,62.8833,152.4333,41.25,68,17,7.25,few clouds
601,gazanjyk,TM,39.2446,55.5154,83.39,39,2,12.03,clear sky
602,nichinan,JP,31.6,131.3667,64.76,90,100,8.86,overcast clouds
603,asilah,MA,35.465,-6.0348,67.96,84,100,17.34,overcast clouds
604,goderich,CA,43.7501,-81.7165,52.12,66,73,4.61,broken clouds
605,ambunti,PG,-4.2365,142.8448,75.13,99,100,1.79,overcast clouds
606,necochea,AR,-38.5473,-58.7368,63.03,55,76,16.84,broken clouds
607,dafeng,CN,23.4517,108.5881,80.87,84,51,3.22,broken clouds
608,karlskoga,SE,59.3267,14.5239,55.31,78,99,11.34,overcast clouds
609,deputatskiy,RU,69.3,139.9,43.03,69,28,3.06,scattered clouds
610,high prairie,CA,55.4334,-116.4858,47.5,88,100,2.86,overcast clouds
611,manokwari,ID,-0.8667,134.0833,78.76,79,36,3.38,scattered clouds
612,tarko-sale,RU,64.9225,77.785,39.99,53,100,18.63,overcast clouds
613,shar,KZ,49.5886,81.0453,64.83,84,73,14.88,broken clouds
614,caranavi,BO,-15.8167,-67.55,77.52,56,81,3.09,broken clouds
615,yanji,CN,42.9075,129.5078,46.78,94,7,2.77,clear sky
616,rabat,MA,33.9911,-6.8401,76.41,82,75,8.39,broken clouds
617,nadym,RU,65.5333,72.5167,40.08,47,71,13.15,broken clouds
618,grindavik,IS,63.8424,-22.4338,51.75,66,20,19.66,few clouds
619,oktyabrskoye,RU,43.0645,44.7417,66.34,68,75,2.42,light rain
620,yima,CN,34.7381,111.8839,75.38,30,68,7.78,light rain
621,zhigansk,RU,66.7697,123.3711,52.11,60,77,15.52,broken clouds
622,davila,PH,18.4726,120.5763,84.24,71,65,4.92,broken clouds
623,dalbandin,PK,28.8947,64.4101,97.43,6,0,6.42,clear sky
624,santa cruz,BO,-17.8,-63.1667,84.6,46,73,15.9,broken clouds
625,kapit,MY,2.0167,112.9333,77.05,94,51,0.2,broken clouds
626,wadi musa,JO,30.3222,35.4793,81.54,16,0,9.15,clear sky
627,praia da vitoria,PT,38.7333,-27.0667,66.45,63,40,12.82,scattered clouds
628,korhogo,CI,9.45,-5.6333,99.73,29,30,3.29,scattered clouds
629,olga,RU,43.7444,135.2892,46.13,98,100,9.57,overcast clouds
630,lavumisa,SZ,-27.31,31.892,81.72,35,0,4.92,clear sky
631,turukhansk,RU,65.8167,87.9833,37.08,88,100,10.16,overcast clouds
632,lososina,RU,48.9975,140.3106,39.34,90,45,3.31,scattered clouds
633,cayhagan,PH,9.6697,122.4256,80.83,79,100,3.2,overcast clouds
634,gannan,CN,47.9147,123.5031,55.24,53,96,5.73,overcast clouds
635,san rafael,AR,-34.6177,-68.3301,65.62,24,37,6.8,scattered clouds
636,la troncal,EC,-2.4,-79.3333,82.2,89,84,3.11,broken clouds
637,raudeberg,NO,61.9875,5.1352,65.8,82,29,24.99,scattered clouds
638,adrar,MR,20.5022,-10.0711,104.05,11,1,2.28,clear sky
639,dudinka,RU,69.4058,86.1778,20.43,94,8,7.9,clear sky
640,san luis,AR,-33.295,-66.3356,67.41,33,0,14.85,clear sky
641,asfi,MA,32.2994,-9.2372,67.86,76,16,13.89,few clouds
642,resistencia,AR,-27.4606,-58.9839,74.08,58,0,5.75,clear sky
643,barra patuca,HN,15.8,-84.2833,82.35,78,100,11.5,overcast clouds
644,chulym,RU,55.0997,80.9572,46.62,64,68,17.83,broken clouds
645,rio grande,BR,-32.035,-52.0986,68.95,60,0,10.22,clear sky
646,kirakira,SB,-10.4544,161.9205,75.51,80,79,8.41,broken clouds
647,konstantinovka,RU,49.6167,127.9833,49.42,87,97,2.33,overcast clouds
648,amapa,BR,1.0,-52.0,75.58,97,100,0.74,moderate rain
649,riyadh,SA,24.6877,46.7219,105.94,7,0,9.22,clear sky
650,abong mbang,CM,3.9833,13.1833,74.48,87,100,0.89,light rain
651,gornyy,RU,55.1153,83.9059,53.33,63,5,15.37,clear sky
652,praia,CV,14.9215,-23.5087,79.34,57,20,24.16,few clouds
653,katangli,RU,51.7102,143.2326,34.38,86,100,5.12,overcast clouds
654,amahai,ID,-3.3333,128.9167,78.03,82,95,8.23,overcast clouds
655,tenkodogo,BF,11.78,-0.3697,102.9,24,80,8.46,broken clouds
656,bakchar,RU,57.0186,82.0711,39.36,92,100,14.41,overcast clouds
657,fortaleza,BR,-3.7227,-38.5247,88.25,58,75,17.27,broken clouds
658,boende,CD,-0.2167,20.8667,90.5,44,57,1.68,broken clouds
659,vila,PT,42.0304,-8.1588,73.74,50,96,4.05,overcast clouds
660,atar,MR,20.5169,-13.0499,103.59,11,23,5.41,few clouds
661,san cristobal,VE,7.7669,-72.225,75.38,81,64,5.23,broken clouds
662,tigil,RU,57.8,158.6667,34.34,87,95,7.78,overcast clouds
663,hailey,US,43.5196,-114.3153,42.66,65,1,11.5,clear sky
664,belmonte,BR,-15.8631,-38.8828,82.9,64,46,6.67,scattered clouds
665,lar,IN,26.2039,83.9717,75.06,93,100,19.86,overcast clouds
666,vanavara,RU,60.34,102.2797,41.43,53,37,3.47,scattered clouds
667,katiola,CI,8.1333,-5.1,92.03,36,47,5.73,scattered clouds
668,brenham,US,30.1669,-96.3977,80.38,86,90,8.05,overcast clouds
669,dzhebariki-khaya,RU,62.2167,135.8,47.48,67,98,0.58,overcast clouds
670,cotonou,BJ,6.3654,2.4183,89.58,70,40,14.97,scattered clouds
671,ngunguru,NZ,-35.6167,174.5,46.17,73,10,4.41,clear sky
672,touros,BR,-5.1989,-35.4608,86.9,65,82,17.2,broken clouds
673,joshimath,IN,30.5667,79.5667,62.38,63,4,6.89,clear sky
674,ubinskoye,RU,55.3068,79.6802,45.18,64,29,19.53,scattered clouds
675,tahoua,NE,14.8888,5.2692,103.98,22,40,9.22,scattered clouds
676,tibati,CM,6.4667,12.6333,84.96,50,32,1.99,scattered clouds
677,wajir,KE,1.7471,40.0573,91.36,40,40,0.0,scattered clouds
678,piranshahr,IR,36.701,45.1413,74.53,33,0,5.75,clear sky
679,manicore,BR,-5.8092,-61.3003,92.17,42,42,2.51,scattered clouds
680,batticaloa,LK,7.7102,81.6924,83.35,69,11,15.14,few clouds
681,puerto colombia,CO,10.9878,-74.9547,86.09,66,97,6.98,overcast clouds
682,svetlogorsk,BY,52.6333,29.7333,68.74,66,92,5.37,overcast clouds
683,sandwick,GB,60.0,-1.25,49.82,87,75,12.33,broken clouds
684,cody,US,44.5263,-109.0565,49.62,81,20,4.61,few clouds
685,kalmunai,LK,7.4167,81.8167,83.32,68,37,4.83,scattered clouds
686,kendari,ID,-3.945,122.4989,76.8,88,14,1.41,few clouds
687,umea,SE,63.8284,20.2597,48.13,57,0,10.36,clear sky
688,fabiansebestyen,HU,46.6833,20.4667,75.27,49,68,5.1,broken clouds
